backup_kusto_test,end_time,failover_kusto_test,loss,max_log_rate,max_outstanding_io,response_time_90th_percentile,run_id,start_time,transactions_per_minute,volume_io_request_size_bytes
3.499983333,6/19/2019 1:39,"(0.0, 0.20971689570558855)",203819.4,59374050,965,0.019,9279,6/19/2019 0:56,203819.4,443800
2.993,6/19/2019 1:47,"(0.0016741071428571428, 0.10260379777608156)",160864.6667,66393340,865,0.026,9280,6/19/2019 1:05,160864.6667,461900
3.000016667,6/19/2019 2:01,"(0.0, 0.12106028020151387)",189072.3667,66743440,720,0.021,9281,6/19/2019 1:18,189072.3667,395500
3.50465,6/19/2019 2:02,"(1.8924479166666666, 1.6780824303712973)",67777.95228,43056010,780,0.018,9282,6/19/2019 1:19,210544.4333,282400
3.500516667,6/19/2019 4:12,"(0.0, 0.22794632270198079)",202872.4333,118844940,1025,0.019,9283,6/19/2019 3:30,202872.4333,334800
3.000266667,6/19/2019 4:33,"(0.0, 0.11702033301874651)",181186.6667,115694210,235,0.021,9284,6/19/2019 3:51,181186.6667,418400
2.500016667,6/19/2019 4:53,"(0.001583614864864865, 0.12544241233864165)",188224.9,57948410,620,0.021,9285,6/19/2019 4:11,188224.9,339900
4,6/19/2019 5:05,"(0.0, 2.635248465804186)",0,42642770,1010,0.022,9286,6/19/2019 4:23,187853.9,30400
3.000266667,6/19/2019 6:50,"(0.0013950892857142857, 0.2930118716430582)",203495.2667,61467490,130,0.019,9287,6/19/2019 6:07,203495.2667,282200
3.000016667,6/19/2019 7:18,"(0.0, 0.20747802708689345)",178563.6667,88947140,375,0.022,9288,6/19/2019 6:35,178563.6667,413100
3.000533333,6/19/2019 7:39,"(0.0, 0.1775660223079335)",188514.8333,33987030,425,0.021,9289,6/19/2019 6:56,188514.8333,298300
3.50755,6/19/2019 7:58,"(0.0, 7.185235805869713)",0,110765900,980,0.019,9290,6/19/2019 7:16,210375.2333,216300
3.000066667,6/19/2019 9:30,"(0.0, 0.489886500826552)",205306.8,91320520,490,0.019,9291,6/19/2019 8:48,205306.8,500700
3.000283333,6/19/2019 10:00,"(0.0016741071428571428, 0.11914564613613673)",181922.8,99946090,465,0.021,9292,6/19/2019 9:18,181922.8,172100
3.000016667,6/19/2019 10:23,"(0.0, 0.15411488937064188)",188176.2,45742990,230,0.021,9293,6/19/2019 9:40,188176.2,141400
3.5047,6/19/2019 10:43,"(0.0, 3.0660375284717167)",0,62499990,135,0.021,9294,6/19/2019 10:00,194469.4614,235000
3.000283333,6/19/2019 12:06,"(0.0, 0.5224371623014502)",204750.4667,86522870,625,0.019,9295,6/19/2019 11:23,204750.4667,84000
3.500016667,6/19/2019 12:51,"(0.0013950892857142857, 0.10826961073186098)",169668.9667,108667110,370,0.024,9296,6/19/2019 12:09,169668.9667,117600
3.50025,6/19/2019 13:16,"(0.0, 0.22985611484409627)",168344.7667,42339640,335,0.025,9297,6/19/2019 12:33,168344.7667,425400
3.505233333,6/19/2019 13:26,"(0.0, 4.829842785869796)",0,62384850,170,0.019,9298,6/19/2019 12:43,209665.2193,350600
2.500516667,6/18/2019 12:03,"(0.0013950892857142857, 0.9835934617946325)",186851.0333,33953350,840,0.021,9270,6/18/2019 11:21,186851.0333,108600
3.00005,6/18/2019 14:35,"(0.0646701388888889, 0.135172141525305)",1.89E+05,111619360,35,0.021,9271,6/18/2019 13:53,1.89E+05,289200
2.500283333,6/18/2019 16:43,"(0.0885044642857143, 0.177843661421989)",1.86E+05,98947350,470,2.10E-02,9273,6/18/2019 16:00,1.86E+05,43400
3.001316667,6/18/2019 18:25,"(0, 1.79635734831851)",0,125286730,505,1.90E-02,9274,6/18/2019 17:42,2.05E+05,419400
3.000016667,6/18/2019 18:47,"(0.00139508928571429, 0.296795314664706)",1.90E+05,41471220,200,2.00E-02,9275,6/18/2019 18:05,1.90E+05,352900
3.0003,6/18/2019 20:04,"(0.00139508928571429, 0.115285430642495)",1.79E+05,72566950,475,2.20E-02,9276,6/18/2019 19:22,1.79E+05,352800
3.000016667,6/18/2019 21:06,"(0, 0.292706860957342)",2.06E+05,115353400,765,1.90E-02,9277,6/18/2019 20:23,2.06E+05,257800
2.500233333,6/18/2019 21:35,"(0.00279017857142857, 0.113203232325513)",1.89E+05,26485550,695,2.00E-02,9278,6/18/2019 20:53,1.89E+05,211400
2.500016667,6/19/2019 19:19,"(0.0, 13.171396040252262)",0,51160180,1010,0.022,9303,6/19/2019 18:36,174726.5667,15900
3.500283333,6/19/2019 19:25,"(0.0, 11.748211562836742)",0,72855690,275,0.019,9304,6/19/2019 18:43,202905.8333,163600
2.502883333,6/19/2019 19:41,"(0.0, 0.36514243227684196)",204947.6333,112175150,995,0.019,9305,6/19/2019 18:58,204947.6333,143900
3.499766667,6/19/2019 19:54,"(0.0, 0.11697996479747401)",179605.5,105663390,860,0.021,9306,6/19/2019 19:12,179605.5,301600
3,6/19/2019 21:46,"(0.0, 0.17010791398701475)",189618.4667,120849000,490,0.02,9307,6/19/2019 21:04,189618.4667,111900
4.000033333,6/19/2019 21:48,"(0.0, 1.0980885317932676)",172041.8673,100303380,1015,0.021,9308,6/19/2019 21:05,190752.5,369500
3.507283333,6/19/2019 21:57,"(0.0, 1.4225167213881313)",118695.5281,92326810,665,0.019,9309,6/19/2019 21:15,205539.3333,517700
3.00365,6/19/2019 22:19,"(0.0, 2.1278514997483353)",0,117735780,270,0.022,9310,6/19/2019 21:37,177865.9333,29900
2.50365,6/20/2019 0:05,"(0.0, 0.15064465986259967)",190424.1667,122427420,275,0.02,9311,6/19/2019 23:22,190424.1667,122700
3.500016667,6/20/2019 0:05,"(0.0, 0.27940450777429515)",204552.9667,97571540,40,0.019,9312,6/19/2019 23:23,204552.9667,191700
4.000283333,6/20/2019 0:16,"(0.0, 9.495281310189831)",0,84298940,1010,0.018,9313,6/19/2019 23:34,210561.4333,264900
3.500033333,6/20/2019 0:41,"(0.0, 0.11349438860741635)",178526.6333,29970870,165,0.022,9314,6/19/2019 23:59,178526.6333,212600
3.006283333,6/20/2019 2:22,"(0.0013950892857142857, 0.09943105651405787)",165716.5667,27189990,440,0.026,9315,6/20/2019 1:40,165716.5667,174000
3.000533333,6/20/2019 2:23,"(0.0, 0.21361065230733817)",196696.3333,108157660,410,0.02,9316,6/20/2019 1:40,196696.3333,385500
3.000283333,6/20/2019 2:43,"(0.0, 1.429152910918965)",117870.0102,37677910,665,0.019,9317,6/20/2019 2:01,206482.6333,485600
3.500016667,6/20/2019 3:00,"(0.0, 0.18724276098841533)",178455.3,71980470,190,0.022,9318,6/20/2019 2:17,178455.3,358400
